"","X","sero_pair","Serotype1","Serotype2","mc_st_index_freq","mc_st_index_sig","mc_cc_index_freq","mc_cc_index_sig","mb_st_index_con","mb_st_index_chi","mb_st_index_lift","mb_st_index_fisher","mb_cc_index_con","mb_cc_index_chi","mb_cc_index_lift","mb_cc_index_fisher","total"
"549",549,"34 - 6A","34","6A",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"555",555,"35A - 35F","35A","35F",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,1.25
"572",572,"35F - 6A","35F","6A",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"592",592,"5 - 6A","5","6A",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"599",599,"6A - 8","6A","8",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"609",609,"6B - 9N","6B","9N",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"615",615,"6C/D - 8","6C/D","8",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"49",49,"10A - 9A","10A","9A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,1
"84",84,"11A - 25A","11A","25A",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,1
"106",106,"11B - 19F","11B","19F",0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,0,1
"109",109,"11B - 4","11B","4",0,0,0,0,0.25,0.25,0.25,0,0,0,0.25,0,1
"121",121,"12A - 14","12A","14",0,0,0,0,0.25,0.25,0.25,0,0,0,0.25,0,1
"125",125,"12B - 6B","12B","6B",0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,0,1
"164",164,"14 - 19C","14","19C",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,1
"173",173,"14 - 31","14","31",0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,1
"257",257,"16F - 22A","16F","22A",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,1
"261",261,"16F - 33A","16F","33A",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,1
"264",264,"16F - 6A","16F","6A",0,0,1,0,0,0,0,0,0,0,0,0,1
"265",265,"16F - 6B","16F","6B",0,0,1,0,0,0,0,0,0,0,0,0,1
"266",266,"16F - 8","16F","8",0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,1
"301",301,"18C - 33A","18C","33A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,1
"311",311,"18C - 7A","18C","7A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,1
"324",324,"18F - 7F","18F","7F",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,1
"364",364,"19C - 19F","19C","19F",0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,0,1
"417",417,"22F - 33A","22F","33A",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,1
"432",432,"23A - 33A","23A","33A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,1
"442",442,"23A - 9A","23A","9A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,1
"488",488,"24F - 7F","24F","7F",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,1
"516",516,"3 - 7A","3","7A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,1
"536",536,"33B - 35F","33B","35F",0,0,0,0,0.25,0.25,0.25,0,0,0,0.25,0,1
"539",539,"33C - 6B","33C","6B",0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,0,1
"548",548,"34 - 5","34","5",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,1
"563",563,"35B - 7A","35B","7A",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,1
"591",591,"46 - 6B","46","6B",0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,0,1
"18",18,"1 - 24F","1","24F",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"60",60,"10B - 7F","10B","7F",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"66",66,"11A - 11B","11A","11B",0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0.75
"110",110,"11B - 6B","11B","6B",0,0,0,0,0.25,0,0.25,0,0,0,0.25,0,0.75
"112",112,"11B - 9V","11B","9V",0,0,0,0,0.25,0,0.25,0,0,0,0.25,0,0.75
"161",161,"14 - 18F","14","18F",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"187",187,"14 - 9A","14","9A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"196",196,"15A - 19B","15A","19B",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"203",203,"15A - 31","15A","31",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"220",220,"15B/C - 19B","15B/C","19B",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"228",228,"15B/C - 24A","15B/C","24A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"241",241,"15B/C - 9A","15B/C","9A",0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.75
"251",251,"15F - 33F","15F","33F",0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0.75
"263",263,"16F - 37","16F","37",0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0.75
"299",299,"18C - 24F","18C","24F",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"303",303,"18C - 33F","18C","33F",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"359",359,"19B - 19F","19B","19F",0,0,0,0,0.25,0,0.25,0,0,0,0.25,0,0.75
"362",362,"19B - 3","19B","3",0,0,0,0,0.25,0,0.25,0,0,0,0.25,0,0.75
"372",372,"19F - 28A","19F","28A",0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0.75
"378",378,"19F - 33D","19F","33D",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"415",415,"22F - 29","22F","29",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"429",429,"23A - 24F","23A","24F",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"448",448,"23B - 42","23B","42",0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0.75
"510",510,"3 - 42","3","42",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"511",511,"3 - 48","3","48",0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0.75
"520",520,"3 - 9A","3","9A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"546",546,"33F - 9V","33F","9V",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"547",547,"34 - 37","34","37",0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0.75
"579",579,"38 - 9A","38","9A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"580",580,"38 - 9V","38","9V",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"604",604,"6B - 6G","6B","6G",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"624",624,"9L - 9V","9L","9V",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"4",4,"1 - 11B","1","11B",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"8",8,"1 - 16F","1","16F",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"23",23,"1 - 42","1","42",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"53",53,"10B - 15B/C","10B","15B/C",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"88",88,"11A - 33B","11A","33B",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"128",128,"12F - 16F","12F","16F",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"133",133,"12F - 38","12F","38",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"151",151,"13 - 35B","13","35B",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"156",156,"13 - 9A","13","9A",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"178",178,"14 - 42","14","42",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"183",183,"14 - 7A","14","7A",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"193",193,"15A - 17F","15A","17F",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"207",207,"15A - 38","15A","38",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"229",229,"15B/C - 24F","15B/C","24F",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"232",232,"15B/C - 35A","15B/C","35A",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"234",234,"15B/C - 38","15B/C","38",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"240",240,"15B/C - 8","15B/C","8",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"260",260,"16F - 3","16F","3",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"262",262,"16F - 33F","16F","33F",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"275",275,"17F - 35C","17F","35C",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"276",276,"17F - 38","17F","38",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"302",302,"18C - 33B","18C","33B",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"314",314,"18C - 9N","18C","9N",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"323",323,"18F - 6C/D","18F","6C/D",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"325",325,"19A - 19B","19A","19B",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"326",326,"19A - 19C","19A","19C",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"335",335,"19A - 27","19A","27",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"377",377,"19F - 33B","19F","33B",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"386",386,"19F - 42","19F","42",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"387",387,"19F - 48","19F","48",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"447",447,"23B - 35B","23B","35B",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"458",458,"23F - 32F","23F","32F",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"464",464,"23F - 48","23F","48",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"482",482,"24F - 35B","24F","35B",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"483",483,"24F - 4","24F","4",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"486",486,"24F - 6E","24F","6E",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"489",489,"24F - 9N","24F","9N",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"508",508,"3 - 38","3","38",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"532",532,"33A - 6A","33A","6A",0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.5
"538",538,"33B - 6B","33B","6B",0,0,0,0,0.25,0,0,0,0,0,0.25,0,0.5
"542",542,"33F - 35F","33F","35F",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"558",558,"35B - 38","35B","38",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"559",559,"35B - 4","35B","4",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"564",564,"35B - 7B/C","35B","7B/C",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"565",565,"35B - 9A","35B","9A",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"566",566,"35B - 9N","35B","9N",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"581",581,"4 - 5","4","5",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"59",59,"10B - 6C/D","10B","6C/D",0,0,0,0,0,0,0,0,0,0,0.25,0,0.25
"175",175,"14 - 35F","14","35F",0,0,0,0,0,0,0,0,0,0,0.25,0,0.25
"305",305,"18C - 35B","18C","35B",0,0,0,0,0,0,0,0,0,0,0.25,0,0.25
"317",317,"18F - 19F","18F","19F",0,0,0,0,0,0,0,0,0,0,0.25,0,0.25
"321",321,"18F - 6A","18F","6A",0,0,0,0,0,0,0,0,0,0,0.25,0,0.25
"376",376,"19F - 33A","19F","33A",0,0,0,0,0,0,0,0,0,0,0.25,0,0.25
"475",475,"23F - 9N","23F","9N",0,0,0,0,0,0,0,0,0,0,0.25,0,0.25
"574",574,"37 - 6A","37","6A",0,0,0,0,0,0,0,0,0,0,0.25,0,0.25
"575",575,"37 - 6B","37","6B",0,0,0,0,0,0,0,0,0,0,0.25,0,0.25
"259",259,"16F - 23F","16F","23F",0,0,0,0,0,0,0,0,0,0,0,0,0
"544",544,"33F - 6A","33F","6A",0,0,0,0,0,0,0,0,0,0,0,0,0
